Unnamed: 0,Author,Year,Title,Grau,Course,Pages,Institution,City,Link,Resumo,Autor,Orientador,Palavras,Area,Linha,Projeto,Financiador,PDF_Name
21,"Pimenta, Raphael Cesar De Souza",2022,Estudo Da Viabilidade Do Uso Da Computação Quântica Para Análise De Propriedades De Sólidos Periódicos,Mestrado, Física - Ufsj - Unifal,93,Universidade Federal De Alfenas,Alfenas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11362345,"a física de materiais tem sido desenvolvida ao longo das últimas décadas com grande ajuda de simulações digitais nos supercomputadores que temos disponíveis no século atual. porém, é certo que há conhecidos limites de até onde podem chegar essas simulações e quais sistemas somos capazes de simular em um tempo de computação eficaz. a computação quântica surge com promessas de romper certas barreiras da computação clássica, aumentando a capacidade computacional disponível para as mais diversas tarefas e, possivelmente, uma delas será a física de materiais. em nosso trabalho realizamos uma revisão bibliográfica do que é feito atualmente para simulação de materiais periódicos através da computação quântica, assim como também realizamos algumas simulações em computadores quânticos disponíveis para acesso público. um grande ponto de nosso levantamento foi que, dentre todas as aplicações da computação quântica, a aplicação em física de sólidos periódicos ainda é modesta, sendo a aplicação em sistemas moleculares uma das maiores fontes de trabalhos e referências. pudemos realizar com o que descobrimos, simulações para a estrutura de bandas de alguns átomos, como o silício e o grafeno em um simulador local. também pudemos simular em uma máquina quântica in silico um modelo generalizado de hamiltoniano para estudar o seu comportamento a medida que variávamos seus parâmetros. para o grafeno, fomos capazes de calcular sua estrutura em um simulador quântico local e o resultado foi similar ao que era esperado pela literatura. para o silício obtivemos uma diferença acentuada no seu estado de energia excitado, que acreditamos ser devido a simplicidade de nossa aproximação.",Raphael Cesar De Souza Pimenta,Anibal Thiago Bezerra,"['Computação Quântica', 'Algoritmos Quânticos', 'Computação Quântica Aplicada A Materiais.']",Física Da Matéria Condensada,"['Simulação E Modelagem Computacional De Moléculas', ' Fluidos E Sólidos']",Estudo De Primeiros Princípios (Dft) De Ligas Metálicas,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,21-Diss_raphaelpimenta_(1).pdf
22,"Silva, Joao Marcos Costa Da",2023,Transposição Didática Da Computação Quântica: Estados Emaranhados E Teleporte Quântico,Mestrado Profissional, Ensino De Física  - Profis,90,Universidade Federal Do Norte Do Tocantins,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13637453,"neste trabalho, desenvolvemos um white paper para auxiliar os estudantes a conhecer e manipular informações quânticas com a utilização de ferramentas matemáticas no contexto do ensino médio. apresentamos uma análise do ensino de física moderna e contemporânea (fmc) no brasil e sua ausência no currículo proposto para o ensino médio. discutimos sobre a teoria da computação quântica, em específico sobre portas lógicas e circuitos quânticos, com seu devido aparato matemático e conceitual. abordamos estes conceitos empregando três metodologias ativas, são elas aprender fazendo, sequência de ensino e aprendizagem e aprendizagem baseada em problema. assim, unimos o conteúdo de física moderna e contemporânea com as metodologias ativas e construímos um produto educacional que foi utilizado com estudantes do ensino médio. também discutimos sobre a aplicação do produto educacional com a proposta pedagógica sugerida, de modo a almejar a aprendizagem significativa por parte dos alunos. por fim, após a aplicação do produto educacional e da análise dos resultados obtidos, constatamos, por meio das resoluções desenvolvidas pelos alunos, que eles demonstraram interesse e habilidades (matemáticas e conceituais) necessárias para a compreensão dos conteúdos de fmc, fator que contribui, significativamente, para a formação científica dos estudantes.",Joao Marcos Costa Da Silva,Matheus Pereira Lobo,"['Computação Quântica', 'Circuito Quântico', 'Teleporte Quântico', 'Metodologias Ativas.']",Ensino De Física,['Física No Ensino Médio'],,,22-Dissertação_João_Marcos.pdf
23,"Alvarez, Pedro Henrique Pereira De Carvalho",2023,Simulação De Magnetorecepção Aviária Em Computadores Quânticos,Mestrado, Física,68,Universidade Estadual De Campinas,Campinas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13857302,"neste trabalho, é proposta uma técnica de simulação de reações químicas dependentes de spin em computadores quânticos, capaz de reproduzir resultados teóricos já estabelecidos na literatura. o estudo começa com uma revisão das evidências experimentais e comportamentais da magnetorecepção aviária, ativada por luz de aves migratórias de pequeno porte, seguida de uma explicação da reação de par-radical que permite essa magnetorecepção e dos principais modelos teóricos da literatura. finalmente, é demonstrado como nosso sistema de simulação em circuitos quânticos reproduz resultados de simulações numéricas dos modelos teóricos estabelecidos. esses resultados mostram o potencial da computação quântica para simular reações químicas complexas e apontam para possibilidades futuras de pesquisa na área.",Pedro Henrique Pereira De Carvalho Alvarez,Marcos Cesar De Oliveira,"['Simulação Quântica', 'Biologia Quântica', 'Magnetorecepção']",Física,['Informação Quântica'],,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,23-Pedro_Alvarez.pdf
24,"Rosa, Evandro Chagas Ribeiro Da",2021,Ket Quantum Programming,Mestrado, Ciências Da Computação,109,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11501398,"as linguagens de programação quântica preenchem a lacuna entre a mecânica quântica e as construções clássicas de programação para simplificar o desenvolvimento de aplicações quânticas. no entanto, a maioria das linguagens de programação quântica abordam apenas as restrições intrínsecas à programação quântica sem observar as restrições advindas da construção dos computadores quânticos. devido à decoerência, computadores quânticos em nuvem devem executar o mais rápido possível, possibilitando apenas o processamento em lote que limita a interação entre computadores clássicos e quânticos. neste trabalho, apresentamos o ket, uma linguagem de programação quântica embarcada em python para programação híbrida clássica-quântica que mitiga essa limitação de interação com uma arquitetura de tempo de execução adequada para computadores quânticos em nuvem. como componente central da arquitetura de tempo de execução proposta, apresentamos a biblioteca c++ libket, que introduz geração de código de tempo de execução para possibilitar a programação quântica genérica com execução dinâmica, enquanto mantém a computação quântica o mais específica possível. o libket também introduz as variáveis do tipo future para atrasar a execução quântica. estas variáveis, por sua vez, são utilizadas pelo ket para mitigar a limitação de interação entre computadores clássico e quântico. ket, libket e o ket bitwise simulator (kbw) compõem o framework de programação quântica ket. com o kbw, melhoramos a representação bitwise, tornando o tempo de simulação não dependente do número de qubits, mas sim da quantidade de superposição e emaranhamento do sistema.",Evandro Chagas Ribeiro Da Rosa,Rafael De Santiago,"['Computação Quântica', 'Programação Quântica', 'Simulação Quântica']",Ciência Da Computação,['Inteligência Computacional'],,,Download Failed
25,"Diniz, Ciro Micheletti",2022,Dos Conceitos Fundamentais Da Termodinâmica Ao Resetting De Computadores Quânticos ﻿,Mestrado, Física,74,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11580504,"enquanto a área da termodinâmico é há séculos conhecida e estudada, a área da computação, mais especificamente da computação quântica, é recente e são muitas as pesquisas feitas atualmente para se compreender e desenvolver tal área. apesar da diferença de idade e de conceitos que esses ramos da física têm, os dois são entendidos e expressos por funções e princípios fundamentais, tais como energia, entropia, informação, calor, conceitos de dissipação e conservação, entre muitos outros. com o avanço e desenvolvimento das áreas o entendimento que temos sobre tais assuntos está sempre se atualizando. somente no último século, por exemplo, passamos a relacionar entropia com informação no escopo da computação. também neste último século que foi desenvolvido por r. landauer um princípio que relacionava, também na área da computação, informação com calor, este que sempre foi fortemente ligado a área da termodinâmica. assim, foi possível notar que haviam intersecções entre as as áreas da computação e da termodinâmica. com o passar do tempo, surgiu a computação quântica, que apesar de nova, é uma área que está crescendo rapidamente, principalmente devido ao seu apelo tecnológico. neste trabalho, estamos focados na ligação que estes ramos possuem, e assim como o princípio de landauer, focamos nossos estudos em funções que conectam as duas áreas, usando definições apropriadas para sistemas quânticos, a fim de aumentar a compreensão que temos sobre a termodinâmica quântica. através das análises dos resultados obtidos, fomos capazes de observar comportamentos novos e alguns até contraintuitivos sobre as dinâmicas das funções que foram estudas. um desses comportamentos nos proporcionou desenvolver um protocolo de reinicialização de sistemas quânticos, ferramenta esta que é muito utilizada na computação.",Ciro Micheletti Diniz,Celso Jorge Villas Boas,"['Mecânica Quântica', 'Termodinâmica', '', 'Cadeias De Qubits']",Física,['Física Atômica E Molecular'],Efeitos Coletivos Em Ensembles Atômicos/Cadeias De Spins E Processamento De Informação Quântica,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado No País Gm,25-Dissertação_Ciro.pdf
26,"Cruz, Igor Martins Grechi",2023,Passeios Aleatórios Quânticos,Mestrado, Modelagem De Sistemas Complexos,77,Universidade De São Paulo,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14396777,"a computação quântica é uma área de pesquisa relativamente nova em que cientistas e empresas de todo o mundo estão investigando suas potenciais aplicações, tanto no contexto cientifico quanto no contexto industrial. em particular, a implementação de algoritmos quânticos e a arquitetura de qubits são as tarefas principais para a execução das aplicações de interesse. apesar das grandes vantagens que computadores quânticos podem proporcionar em relação aos computadores clássicos, existem grandes desafios a serem superados como a decoerência e os ruídos que interferem nos processos investigativos e nos resultados das rotinas empregadas. o trabalho investiga o passeio quântico unidimensional e sua implementação nos computadores quânticos da ibm. comparamos os principais resultados do passeio clássico com o passeio quântico, em especial foi investigado que o passeio quântico não apresenta uma distribuição de probabilidade normal a medida que o número de passos aumenta, resultado que é observado para o passeio clássico. além disso, o desvio padrão do passeio quântico é proporcional ao número de passos $n$, enquanto o desvio padrão do passeio clássico é dado por $\sqrt{n}$. através dos computadores quânticos da ibm foram realizados simulações, primeiramente de um passeio quântico de dois qubits e outra de um passeio quântico de três qubits. os resultados para a simulação do passeio quântico de dois qubits indicam que a simulação efetuada em um computador quântico real obteve um bom desempenho apesar dos fatores de interferência e decoerência não serem desprezíveis. no entanto, os resultados para o passeio quântico de três qubits apresentaram muito ruído.",Igor Martins Grechi Cruz,Jose Ricardo Goncalves De Mendonca,"['Computação Quântica', 'Passeio Quântico', 'Algoritmos Quânticos']",Sistemas Complexos,['Fundamentos De Sistemas Complexos'],Maiores Subsequências Crescentes De Passeios Aleatórios E Séries Temporais Correlacionadas,,Download Failed
27,"Arenstein, Lucas Silva",2022,"Uma Introdução À Computação Quântica, Protocolos De Complexidade De Comunicação Quânticos, Não-Localidade E Parâmetros Quânticos De Grafos.",Mestrado, Ciência Da Computação,107,Universidade De São Paulo,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12386597,"quais são as vantagens que a computação quântica pode oferecer em relação à computação clássica? o objetivo desta tese é responder a esta pergunta sob diferentes perspectivas, com este intuito, dividimos este trabalho em três partes. na primeira parte começamos a estudar os princípios básicos da computação quântica. em seguida aprenstamos dois algoritmos quânticos; o algoritmo de deutsch-jozsa e o algoritmo de grover. o primeiro possui uma menor complexidade de query, já o segundo possui uma menor complexidade de tempo quando comparados aos melhores algoritmos clássicos para os mesmos problemas. o último tópico é uma explicação detalhada com um exemplo de como utilizar o algoritmo de grover para resolver uma fórmula booleana expressa na forma normal conjuntiva. na segunda parte abordamos problemas de complexidade de comunicação. estes problemas normalmente envolvem duas pessoas, alice e bob, que em locais separados recebem um input de um juiz. o objetivo deles é calcular o valor de uma função que depende dos seus inputs com a menor quantidade de comunicação entre eles. nesta parte, apresentamos protocolos nos quais a transmissão de bits quânticos (qubits), ao invés de bits, podem reduzir a quantidade de comunicação necessária para resolver estes tipos de problemas. também estudamos como alice e bob podem utilizar o emaranhamento quântico para resolver dois problemas de complexidade de comunicação sem que haja comunicação entre ambos, algo que não pode ser feito classicamente. na parte iii estudamos jogos não-locais inspirados em parâmetros usuais da teoria dos grafos. jogos não-locais são definidos como jogos em que jogadores que podem compartilhar e operar em um estado emaranhado possuem algum tipo de vantagem sobre jogadores clássicos. iniciamos esta última parte apresentando o número cromático quântico de um grafo. esta quantidade representa o menor número de cores necessárias para alice e bob convencerem um juiz que possuem uma coloração própria de um grafo ao jogarem um jogo não-local. terminamos esta tese apresentando outros dois parâmetros quânticos de grafos, um relacionado ao homomorfismo de grafos e o outro ao número de independência de um grafo.",Lucas Silva Arenstein,Yoshiharu Kohayakawa,"['Computação Quântica', 'Algoritmos Quânticos', 'Algoritmo De Grover', 'Complexidade De Comunicação Quântica', 'Não-Localidade', 'Parâmetros Quânticos De Grafos', 'Número Cromático Quântico']",Ciência Da Computação,['Combinatória E Teoria Dos Grafos'],,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa De Mestrado No País Gm,Download Failed
28,"Silva, Antonio Maciel Da",2020,Localização E Emaranhamento Em Caminhadas Quânticas Com Defeito De Fase,Mestrado, Física,50,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9240816,"investigamos a localização e o emaranhamento em caminhadas quânticas discretas no tempo com defeitos de fase na origem, isto é, uma caminhada dirigida por moeda quântica que introduz uma fase relativa entre estados de spin em j = 0 das demais moedas na rede. partindo do estado inicial local dado por 1/√2(|↑i−|↓i)⊗|0i, mostramos numericamente que somente parte do estado é localizado em torno da origem e que o emaranhamento ao longo do tempo não possui limite assintótico. a intensidade da localização é dada pela diferença de fase entre a moeda na origem e as demais moedas, sendo máxima para uma diferença de fase η = π em uma média de 2016 q-bits iniciais.",Antonio Maciel Da Silva,Edgard Pacheco Moreira Amorim,"['Caminhadas Quânticas', 'Defeitos De Fase', 'Localização', 'Emaranhamento']",Física,['Óptica E  Física Atômica E Molecular'],Informação E Computação Quântica: Aplicações Da Caminhada Aleatória Quântica,,28-Dissertação_ANTÔNIO_MACIEL.pdf
29,"Barbosa, Patrick Jordy De Lima",2022,Caminhadas Quânticas Com Defeitos Fourier Simétricos,Mestrado, Física,66,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11597419,"neste trabalho estudamos a caminhada quântica discreta no tempo sobre uma rede unidimensional com defeitos fourier em posições simétricas. o estado inicial é dado por um bit quântico partindo da origem. investigamos o aprisionamento (localização), transporte e emaranhamento entre spin e posição da partícula quântica. observamos que essas propriedades são fortemente dependentes da posição j = ±d dos defeitos. a inserção de defeitos em |d| > 1 mostrou uma melhora nas propriedades de transporte e no emaranhamento comparada a uma caminhada quântica dirigida por uma moeda hadamard, enquanto que para |d| = 1 observamos uma localização parcial substancial do estado quântico próximo a sua posição inicial.",Patrick Jordy De Lima Barbosa,Edgard Pacheco Moreira Amorim,"['Caminhadas Quânticas', 'Defeito De Rede', 'Localização', 'Emaranhamento.']",Física,['Informação E Computação Quântica'],Informação E Computação Quântica: Aplicações Da Caminhada Aleatória Quântica,,29-Dissertação_-_Patrick.pdf
30,"Silva, Jose Leonardo Esteves Da",2022,"Teoria E Aplicações Das Funções Wκ De Lambert-Kaniadakis, Wq De Lambert-Tsallis E As Disentropias Associadas",Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11629432,"na primeira parte do presente trabalho, a função w de lambert-kaniadakis é introduzida. ba- sicamente, a função w resolve a equação w(z)exp(w(z)) = z, na qual exp(z) é a função - exponencial usada por kaniadakis em mecânica estatística relativística. em seguida a função  r é introduzida. basicamente, a função r é uma generalização da função w que resolve a  equação w(z)exp(w(z)) = z, na qual  é a operação -produto. na segunda parte desta  tese, as funções w e r são usadas para construir duas -disentropias (d e d). as -disen- tropias e a q-disentropia (dq), que usa a função wq de lambert-tsallis, são então usadas no  cálculo do emaranhamento de estados bipartes (dq), processamento de imagens (d), mapas  não lineares (d e dq) e redes aleatórias (d). por fim, a transcendentalidade das funções  expq(z), lnq(z) e wq(z), para q irracional algébrico.",Jose Leonardo Esteves Da Silva,Rubens Viana Ramos,"['Função Wq De Lambert-Tsallis', 'Função \ud835\udf05-Exponencial', 'Disentropia', 'Caos', 'Números Transcendentais.']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Comunicações Quânticas Em Redes Ópticas E Computadores Quânticos Fotônicos,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,30-2022_tese_jlesilva.pdf
31,"Damasceno, Ranara Louise Campos",2022,Análise De Sistemas De Distribuição Quantum- Caótica De Chaves,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13439038,"a presente tese trata da distribuição quântica de chaves, onde discute a segurança e implementação de um protocolo inédito de distribuição quantum-caótica de chaves, e da coexistência de dados clássicos e quânticos na mesma rede óptica, propondo uma fórmula analítica inédita para a obtenção do comprimento do canal óptico através do uso da função de lambert-tsallis.",Ranara Louise Campos Damasceno,Rubens Viana Ramos,"['Caos', 'Distribuição Quantum-Caótica De Chaves', 'Mapa Logístico', 'Tomografia Quântica', 'Pulsos Multifótons', 'Quântica', 'Distribuição De Chaves', 'Distribuição Quântica De Chaves']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Comunicações Quânticas Em Redes Ópticas E Computadores Quânticos Fotônicos,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,Download Failed
32,"Guedes, Vitor Ferreira",2022,Teoria Da Detecção De Fótons Em Ondas Milimétricas E Resultados Analíticos Paraa Corrente Limitada Por Carga Espacial Usando A Função De Lambert-Tsallis,Mestrado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12920289,"a presente dissertação pode ser dividida em duas partes: i) teoria da detecção de fótons com lâmpadas de neon e fotodiodos de avalanche de silício. ii) o uso da função de lambert-tsallis na solução analítica de problemas envolvendo a corrente limitada por carga espacial. na primeira parte é feita uma revisão do uso de lâmpadas de neon em miniatura na detecção de radiação eletromagnética na faixa de ondas milimétricas, seguida de uma discussão do uso dessas lâmpadas de neon na detecção de fótons únicos com aplicação potencial em distribuição quântica de chaves. uma fórmula para probabilidade de detecção de um fóton único é apresentada. a segunda parte da dissertação faz uso da recém-criada função de lambert-tsallis para obter soluções analíticas para corrente limitada por carga espacial em dispositivos emissores de elétrons e diodos de diferentes modelos.",Vitor Ferreira Guedes,Rubens Viana Ramos,"['Detectores De Fótons Únicos', ' Ondas Milimétricas', ' Dispositivos De Descarga Luminescente', ' Corrente Limitada Por Carga Espacial', ' Função De Lambert-Tsallis.']",Eletromagnetismo Aplicado,['Dispositivos E Sistemas Quânticos'],Comunicações Quânticas Em Redes Ópticas E Computadores Quânticos Fotônicos,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Excelência Acadêmica,Download Failed
33,"Neto, Jogi Suda",2023,"Parkinson, Chaos & Quantum Computing",Mestrado, Ciência Da Computação,79,Universidade Estadual Paulista Júlio De Mesquita Filho ( São José Do Rio Preto ),São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13840747,"modelos de processamento de sinais e algoritmos de inteligência artificial se beneficiaram com o avanço da computação quântica. no entanto, apenas possibilidades modestas foram vistas nesse sentido para a análise da fala e da voz. assim, a intenção do autor desta dissertação é investigar se os modelos de aprendizado de máquina quântica podem ter um bom desempenho na classificação da fala parkinsoniana. particularmente, como o banco de dados de fala utilizado nos experimentos contém poucas características, os modelos quânticos atuais disponíveis são viáveis para a abordagem proposta. os resultados, até aqui, estimulam futuras investigações",Jogi Suda Neto,Rodrigo Capobianco Guido,"['Aprendizado De Máquina Quântica', 'Doença De Parkinson', 'Processamento De Sinais Digitais', 'Análise De Voz']",Computação Aplicada,['Inteligência Computacional'],Aprimorando Os Sistemas De Autenticação Biométrica Por Voz: Robustez Mediante Disfonias De Curta Duração,,Download Failed
34,"Ricardo, Alexandre Cesar",2022,Estudo De Algoritmos Quânticos Para Resolução De Equações Diferenciais Parciais,Mestrado, Física,89,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11605613,"com grande impacto em várias áreas de engenharia e matemática, a computação quântica é uma tecnologia emergente com uma de suas aplicações na resolução de problemas matemáticos em larga escala, como otimização e simulação. procurando resolver equações diferenciais com computadores quânticos, estudamos algoritmos quânticos propostos a resolver equações diferenciais e suas implementações em sistemas no estado da arte. em particular, estudamos um algoritmo quântico para resolver equações diferenciais linares não homogêneas da forma aψ(r) = f(r) proposta por j. m. arrazola et al. [phys. rev. a 100, 032306 (2019)]. ao inverter o operador diferencial a, é possível obter uma solução particular codificada na função de onda de um sistema de variáveis contínuas, junto com a preparação e medida dos estados de modos auxiliares. apesar de partir de uma ideia simples, a execução do algoritmo em um computador quântico real requer elementos sofisticados, como criação de um grande número de estados em superposição e detecção de estados com baixa probabilidade de sucesso. nesse trabalho, sugerimos modificações na estrutura para reduzir o custo de se preparar o estado inicial nos estados auxiliares, aumentar a probabilidade de sucesso e aprimorar a precisão do algoritmo para um conjunto de entradas mais específico. as modificações propostas permitem uma implementação experimental mais condizente com o atual estado da arte da computação quântica",Alexandre Cesar Ricardo,Celso Jorge Villas Boas,"['Computação Quântica', 'Algoritmos Quânticos', 'Sistemas De Variáveis Contínuas']",Física,['Física Atômica E Molecular'],Fundamentos Da Teoria QuâNtica ÀS Tecnologias QuâNticas De Segunda GeraçÃO,Cons Nac De Desenvolvimento Cientifico E Tecnologico - Bolsa No País - Pesquisa,34-Disserta__o_Mestrado___Alexandre_Ricardo.pdf
35,"Akamatsu, Daniel Yoshio",2022,Algoritmos Quânticos Para Resolução De Equações Diferenciais: Análise De Complexidade E Aplicabilidade,Mestrado, Física,111,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11589355,"este trabalho consiste na análise de complexidade de um algoritmo para resolução de equações diferenciais, que compartilha características como outros algoritmos designados para a mesma tarefa. operações como preparação de estados, implementação de portas de múltiplos q-bits e portas controladas estão presentes em vários algoritmos, e a complexidade destas, cujos detalhes são por vezes negligenciados em análises de algoritmos novos, são tratadas detalhadamente, visando fazer uma análise de complexidade o mais fiel à realidade possível. é possível concluir que a negligência destas operações pode levar a uma análise errônea da complexidade, através de exemplos práticos",Daniel Yoshio Akamatsu,Celso Jorge Villas Boas,"['Computação Quântica', 'Algoritmo Quântico', 'Equações Diferenciais']",Física,['Física Atômica E Molecular'],"Efeitos Coletivos Em Sistemas Atômicos, Spins Nucleares E Eletrodinâmica Quântica De Cavidades",Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,35-dissertacao_Daniel_Yoshio.pdf
36,"Junior, Paulo Eduardo Zanni",2023,Otimização Dos Campos De Proteção Nas Técnicas De Desacoplamento Dinâmico Contínuo,Mestrado, Física,75,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13817469,"neste projeto de pesquisa investigamos o método conhecido como desacoplamento dinâmico contínuo que baseia-se em utilizar campos externos de altas frequências aplicados continuamente para maximizar a fidelidade das operações lógicas quânticas que são realizadas em um qubit que sofre decoerência. em nosso modelo, supomos um sistema quântico aberto, no qual um qubit interage continuamente com os seus arredores, e desta forma dizemos que o qubit está acoplado ao ambiente que o perturba de forma irreversível causando decoerência. o desacoplamento dinâmico continuo nos diz que assumindo um operador de erro conhecido e um ambiente representado por um campo de bósons escalares a uma temperatura finita, a decoerência durante as operações lógicas pode ser eficientemente reduzida aplicando uma superposição de dois campos vetoriais externos: um girando ortogonalmente à direção do outro, que permanece estático. o principal objetivo deste projeto é aperfeiçoar o método encontrando os campos externos otimizados que aplicados continuamente maximizem a fidelidade das operações lógicas realizadas em um qubit, e para isso precisaremos resolver numericamente a equação mestra do sistema – onde durante o processo de otimização os campos externos serão aplicados com parâmetros variáveis – com o intuito de encontrar os melhores campos de proteção para uma dada operação lógica. ao final, apresentamos os resultados que foram obtidos para um qubit em um ambiente com densidade espectral ôhmica e super ôhmica, e discutiremos sobre os resultados obtidos.",Paulo Eduardo Zanni Junior,Leonardo Kleber Castelano,"['Computação Quântica', '', 'Informação Quântica', '', 'Desacoplamento Dinâmico', '']",Física,['Física Da Matéria Condensada'],Strong Correlations In Cavity And Ion Quantum Simulators,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,36-Versão_Preliminar_Dissertação_Mestrado_Paulo.pdf
37,"Chaves, Rodrigo Otavio Goncalves",2023,Oriented Quantum Walks,Doutorado, Ciências Da Computação,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13865429,,,,[''],,[''],,,Download Failed
38,"Cunha, Iann",2023,Study Of Platforms Based On Semiconductors For Application In Quantum Computing,Doutorado, Física,102,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14017179,"esta tese é composta de três partes. na primeira parte, é realizado um estudo de transporte em nanofios semicondutores, no qual o espalhamento multicanal ocorre em uma determinada região finita, proporcionando uma reentrância na condutância. essa reentrância é analisada em configuração de campo magnético nulo para casos onde há um forte acoplamento spin-órbita e para uma deformação estrutural no nanofio, onde ele sofre uma expansão localizada. além disso, ambos os casos também são investigados na presença de um campo magnético, agora apresentando reentrâncias em canais de maior energia. na segunda parte desta tese, o aprendizado de máquina é aplicado para determinar com sucesso parâmetros físicos de dois qubits em pontos quânticos semicondutores acoplados, com o objetivo de medir localmente os qubits e reduzir as medições necessárias realizadas em laboratório. na terceira parte da tese, o estudo foca na interação de qubits distantes formados por pontos quânticos. esses qubits são modelados por uma cadeia de spin com interações de vizinhos mais próximos e o objetivo é implementar portas lógicas quânticas swap e cnot nessa rede de spin. finalmente, usando portas swap, é possível propagar a informação quântica ao longo da cadeia de spin. quando os efeitos do ruído são levados em consideração, há uma diferença relevante na ordem de aplicação das portas lógicas, o que leva ao aumento ou diminuição da efetividade da aplicação das portas quânticas.",Iann Cunha,Leonardo Kleber Castelano,"['Espalhamento Multicanal', 'Reentrância', 'Portas Quânticas']",Física,['Física Da Matéria Condensada'],Pesquisas E Análises Em Espectroscopia Opto-Eletrônica,Fund Coord De Aperfeicoamento De Pessoal De Nivel Sup - Programa De Demanda Social,38-Platforms_based_on_semiconductors_for_application_in_quantum_computing_12072023.pdf
